2024-05-01 13:35:12,581 INFO    StreamThr :2057822 [internal.py:wandb_internal():86] W&B internal server running at pid: 2057822, started at: 2024-05-01 13:35:12.580797
2024-05-01 13:35:12,583 DEBUG   HandlerThread:2057822 [handler.py:handle_request():146] handle_request: status
2024-05-01 13:35:12,585 INFO    WriterThread:2057822 [datastore.py:open_for_write():87] open: /raid/home/automathon_2024/account6/automathon-2024/wandb/run-20240501_133512-mf9ay99u/run-mf9ay99u.wandb
2024-05-01 13:35:12,585 DEBUG   SenderThread:2057822 [sender.py:send():379] send: header
2024-05-01 13:35:12,586 DEBUG   SenderThread:2057822 [sender.py:send():379] send: run
2024-05-01 13:35:12,890 INFO    SenderThread:2057822 [dir_watcher.py:__init__():211] watching files in: /raid/home/automathon_2024/account6/automathon-2024/wandb/run-20240501_133512-mf9ay99u/files
2024-05-01 13:35:12,890 INFO    SenderThread:2057822 [sender.py:_start_run_threads():1124] run started: mf9ay99u with start time 1714563312.580681
2024-05-01 13:35:12,897 DEBUG   HandlerThread:2057822 [handler.py:handle_request():146] handle_request: check_version
2024-05-01 13:35:12,897 DEBUG   SenderThread:2057822 [sender.py:send_request():406] send_request: check_version
2024-05-01 13:35:12,999 DEBUG   HandlerThread:2057822 [handler.py:handle_request():146] handle_request: run_start
2024-05-01 13:35:13,005 DEBUG   HandlerThread:2057822 [system_info.py:__init__():26] System info init
2024-05-01 13:35:13,005 DEBUG   HandlerThread:2057822 [system_info.py:__init__():41] System info init done
2024-05-01 13:35:13,005 INFO    HandlerThread:2057822 [system_monitor.py:start():194] Starting system monitor
2024-05-01 13:35:13,005 INFO    SystemMonitor:2057822 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-01 13:35:13,005 INFO    HandlerThread:2057822 [system_monitor.py:probe():214] Collecting system info
2024-05-01 13:35:13,006 INFO    SystemMonitor:2057822 [interfaces.py:start():190] Started cpu monitoring
2024-05-01 13:35:13,006 INFO    SystemMonitor:2057822 [interfaces.py:start():190] Started disk monitoring
2024-05-01 13:35:13,007 INFO    SystemMonitor:2057822 [interfaces.py:start():190] Started gpu monitoring
2024-05-01 13:35:13,007 INFO    SystemMonitor:2057822 [interfaces.py:start():190] Started memory monitoring
2024-05-01 13:35:13,008 INFO    SystemMonitor:2057822 [interfaces.py:start():190] Started network monitoring
2024-05-01 13:35:13,060 DEBUG   HandlerThread:2057822 [system_info.py:probe():150] Probing system
2024-05-01 13:35:13,062 DEBUG   HandlerThread:2057822 [system_info.py:_probe_git():135] Probing git
2024-05-01 13:35:13,066 DEBUG   HandlerThread:2057822 [system_info.py:_probe_git():143] Probing git done
2024-05-01 13:35:13,066 DEBUG   HandlerThread:2057822 [system_info.py:probe():198] Probing system done
