2024-05-01 13:42:37,213 INFO    StreamThr :2072949 [internal.py:wandb_internal():86] W&B internal server running at pid: 2072949, started at: 2024-05-01 13:42:37.211256
2024-05-01 13:42:37,215 DEBUG   HandlerThread:2072949 [handler.py:handle_request():146] handle_request: status
2024-05-01 13:42:37,217 INFO    WriterThread:2072949 [datastore.py:open_for_write():87] open: /raid/home/automathon_2024/account6/automathon-2024/wandb/run-20240501_134237-mvbpm6mi/run-mvbpm6mi.wandb
2024-05-01 13:42:37,222 DEBUG   SenderThread:2072949 [sender.py:send():379] send: header
2024-05-01 13:42:37,222 DEBUG   SenderThread:2072949 [sender.py:send():379] send: run
2024-05-01 13:42:37,565 INFO    SenderThread:2072949 [dir_watcher.py:__init__():211] watching files in: /raid/home/automathon_2024/account6/automathon-2024/wandb/run-20240501_134237-mvbpm6mi/files
2024-05-01 13:42:37,565 INFO    SenderThread:2072949 [sender.py:_start_run_threads():1124] run started: mvbpm6mi with start time 1714563757.20732
2024-05-01 13:42:37,578 DEBUG   HandlerThread:2072949 [handler.py:handle_request():146] handle_request: check_version
2024-05-01 13:42:37,579 DEBUG   SenderThread:2072949 [sender.py:send_request():406] send_request: check_version
2024-05-01 13:42:37,732 DEBUG   HandlerThread:2072949 [handler.py:handle_request():146] handle_request: run_start
2024-05-01 13:42:37,741 DEBUG   HandlerThread:2072949 [system_info.py:__init__():26] System info init
2024-05-01 13:42:37,741 DEBUG   HandlerThread:2072949 [system_info.py:__init__():41] System info init done
2024-05-01 13:42:37,741 INFO    HandlerThread:2072949 [system_monitor.py:start():194] Starting system monitor
2024-05-01 13:42:37,742 INFO    SystemMonitor:2072949 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-01 13:42:37,742 INFO    HandlerThread:2072949 [system_monitor.py:probe():214] Collecting system info
2024-05-01 13:42:37,742 INFO    SystemMonitor:2072949 [interfaces.py:start():190] Started cpu monitoring
2024-05-01 13:42:37,743 INFO    SystemMonitor:2072949 [interfaces.py:start():190] Started disk monitoring
2024-05-01 13:42:37,744 INFO    SystemMonitor:2072949 [interfaces.py:start():190] Started gpu monitoring
2024-05-01 13:42:37,745 INFO    SystemMonitor:2072949 [interfaces.py:start():190] Started memory monitoring
2024-05-01 13:42:37,745 INFO    SystemMonitor:2072949 [interfaces.py:start():190] Started network monitoring
2024-05-01 13:42:37,797 DEBUG   HandlerThread:2072949 [system_info.py:probe():150] Probing system
2024-05-01 13:42:37,801 DEBUG   HandlerThread:2072949 [system_info.py:_probe_git():135] Probing git
2024-05-01 13:42:37,815 DEBUG   HandlerThread:2072949 [system_info.py:_probe_git():143] Probing git done
2024-05-01 13:42:37,815 DEBUG   HandlerThread:2072949 [system_info.py:probe():198] Probing system done
